CASRN,Name,Type,Target,Reaction
12345,Miraculnib,Promoter,HIS4,30379
12345,Miraculnib,Promoter,RAI7,NA
12345,Miraculnib,Promoter,BAS5,NA
12345,Miraculnib,Promoter,CAR1,NA
30379,Disappointfil,Inhibitor,HER2,12345
30379,Disappointfil,Inhibitor,HIS4,93029
30379,Disappointfil,Inhibitor,THO9,NA
30379,Disappointfil,Inhibitor,PLU9,NA
30379,Disappointfil,Inhibitor,BAS5,NA
74339,Blankerist,Inhibitor,RAI7,20397
74339,Blankerist,Inhibitor,DRA0,NA
74339,Blankerist,Inhibitor,PLU9,NA
74339,Blankerist,Inhibitor,BAS5,NA
74339,Blankerist,Inhibitor,HIS4,NA
93029,Infecterfil,Inhibitor,HER2,30379
93029,Infecterfil,Inhibitor,HIS4,20397
93029,Infecterfil,Inhibitor,RAI7,NA
93029,Infecterfil,Inhibitor,MAD3,NA
20397,Shutnib,Promoter,MAD3,74339
20397,Shutnib,Promoter,THO9,93029
20397,Shutnib,Promoter,CAR1,NA
20397,Shutnib,Promoter,DRA0,NA
20397,Shutnib,Promoter,HER2,NA
